task_id,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
216,4d/5d2be1,nf-4d5d2be1f9fba0a32dd5306846298956,fastqc,DA188_L1,fastqc (DA188_L1),COMPLETED,0,-,nfcore/eager:2.5.1,2,14400000,-,4294967296,1,1719302359716,1719302573000,1719302586000,226284,12291,-,119.6,0.2,274485248,3644293120,274485248,3644309504,145215827,882021,243087,4528,0,1073152,4,3,/app/results/joba/work/4d/5d2be1f9fba0a32dd5306846298956,-,-
217,cb/90c836,nf-cb90c8361febdd0be27dc925f3a58489,fastqc,DA189_L1,fastqc (DA189_L1),COMPLETED,0,-,nfcore/eager:2.5.1,2,14400000,-,4294967296,1,1719302359736,1719302584000,1719302594000,234264,10304,-,113.7,0.2,305635328,3724423168,305635328,3779723264,107009019,853112,168463,4479,0,1048576,4,4,/app/results/joba/work/cb/90c8361febdd0be27dc925f3a58489,-,-
219,98/80b5d5,nf-9880b5d5938f273838a9a58e86aca82c,fastqc,DA190_L1,fastqc (DA190_L1),COMPLETED,0,-,nfcore/eager:2.5.1,2,14400000,-,4294967296,1,1719302359777,1719302576000,1719302597000,237223,20298,-,110.0,0.2,278405120,3644293120,278405120,3703889920,241637551,866168,431408,4499,0,1056768,4,5,/app/results/joba/work/98/80b5d5938f273838a9a58e86aca82c,-,-
234,82/4c986c,nf-824c986c02882268246b24f2e0c4b117,fastqc,DA207_L1,fastqc (DA207_L1),COMPLETED,0,-,nfcore/eager:2.5.1,2,14400000,-,4294967296,1,1719302360565,1719302578000,1719302597000,236435,18283,-,110.9,0.2,280891392,3644293120,280891392,3644309504,216836897,871815,382966,4507,0,1060864,4,6,/app/results/joba/work/82/4c986c02882268246b24f2e0c4b117,-,-
235,18/799412,nf-1879941278806a16e94adc124ba3800c,fastqc,DA208_L1,fastqc (DA208_L1),COMPLETED,0,-,nfcore/eager:2.5.1,2,14400000,-,4294967296,1,1719302360802,1719302582000,1719302598000,237198,16268,-,109.9,0.2,321634304,3724423168,321724416,3724439552,183084395,818670,317040,4420,0,1003520,4,5,/app/results/joba/work/18/79941278806a16e94adc124ba3800c,-,-
208,0a/836b56,nf-0a836b565b8c4e991db5fb6d71cb8e55,fastqc,DA161_L1,fastqc (DA161_L1),COMPLETED,0,-,nfcore/eager:2.5.1,2,14400000,-,4294967296,1,1719302359541,1719302568000,1719302604000,244459,36254,-,105.3,0.2,325885952,3720208384,325885952,3779723264,429355923,887177,777467,4531,0,1110016,3,6,/app/results/joba/work/0a/836b565b8c4e991db5fb6d71cb8e55,-,-
24,8a/4f6075,nf-8a4f60751b66d7dbfe981718aab2d591,fastqc,DA130_L1,fastqc (DA130_L1),COMPLETED,0,-,nfcore/eager:2.5.1,2,14400000,-,4294967296,1,1719302358986,1719302581000,1719302608000,249014,27243,-,107.3,0.2,289755136,3720208384,289755136,3779723264,336176802,874130,616051,4504,0,1118208,4,3,/app/results/joba/work/8a/4f60751b66d7dbfe981718aab2d591,-,-
212,90/41f086,nf-9041f086bf915bc5bb0a1b2d66e1532f,fastqc,DA171_L1,fastqc (DA171_L1),COMPLETED,0,-,nfcore/eager:2.5.1,2,14400000,-,4294967296,1,1719302359626,1719302582000,1719302613000,253374,30307,-,106.2,0.2,283258880,3644293120,283258880,3703889920,368639180,827471,679449,4455,0,1056768,4,5,/app/results/joba/work/90/41f086bf915bc5bb0a1b2d66e1532f,-,-
33,cb/e5ad8c,nf-cbe5ad8c6d85b5af7ded1ec892e841ae,fastqc,DA145_L1,fastqc (DA145_L1),COMPLETED,0,-,nfcore/eager:2.5.1,2,14400000,-,4294967296,1,1719302359294,1719302580000,1719302626000,266706,46276,-,104.7,0.2,311468032,3720208384,312926208,3722031104,579693633,888842,1071099,4534,0,1114112,4,6,/app/results/joba/work/cb/e5ad8c6d85b5af7ded1ec892e841ae,-,-
18,cf/2bd694,nf-cf2bd694e62b03fb8ea7be58b2e401ea,fastqc,DA125_L1,fastqc (DA125_L1),COMPLETED,0,-,nfcore/eager:2.5.1,2,14400000,-,4294967296,1,1719302358830,1719302585000,1719302632000,273170,47348,-,104.5,0.2,293318656,3644293120,293318656,3644309504,562976834,860266,1038447,4490,0,1163264,4,5,/app/results/joba/work/cf/2bd694e62b03fb8ea7be58b2e401ea,-,-
