task_id,hostname,out_label,infiles_time,outfiles_time,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
6,node1,-,-,-,e5/fadff2,nf-e5fadff267730ea1d263876fb9298b8a,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD,GCA_002596845.1_ASM259684v1_genomic.fna.gz,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz),COMPLETED,0,-,quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1,1,14400000,-,7516192768,1,1678701065485,1678701086000,1678701090000,24515,0,-,65.9,0.0,8667136,32296960,8667136,32301056,1427284,8406724,462,1452,8781824,8421376,38,2,/input/data/work/e5/fadff267730ea1d263876fb9298b8a,true,-,-,-,-,-,-,-,-,9,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,6,2,3,19
24,cpu06,-,-,-,a6/9b83dd,nf-a69b83dddf716c8a276cb75c42f16ba8,NFCORE_MAG:MAG:FASTQC_RAW,ERR260271,NFCORE_MAG:MAG:FASTQC_RAW (ERR260271),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1678701066274,1678701070000,1678701098000,31726,25000,-,202.8,0.8,1076383744,4559974400,1076924416,4561649664,702253069,3849411,1342997,11926,19136512,4268032,8,4,/input/data/work/a6/9b83dddf716c8a276cb75c42f16ba8,true,-,-,-,-,-,-,-,-,9,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,5,0,4,19
15,cpu06,-,-,-,d0/ffc75e,nf-d0ffc75ecd0c64f1b76c6459d0ecca7e,NFCORE_MAG:MAG:FASTQC_RAW,ERR260275,NFCORE_MAG:MAG:FASTQC_RAW (ERR260275),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1678701066080,1678701067000,1678701104000,37920,35000,-,207.4,0.8,1077125120,4559974400,1077125120,4559986688,960876608,4033103,1848075,12251,31432704,4718592,118,5,/input/data/work/d0/ffc75ecd0c64f1b76c6459d0ecca7e,true,-,-,-,-,-,-,-,-,7,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,5,1,3,17
20,node9,-,-,-,8a/129a10,nf-8a129a1039b03518c5dfe865d9bec0dc,NFCORE_MAG:MAG:FASTP,ERR260272,NFCORE_MAG:MAG:FASTP (ERR260272),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1678701066108,1678701070000,1678701107000,40892,25000,-,401.7,1.7,2322894848,2898079744,2322894848,2898083840,758528528,586927822,366,1648,102400,586952704,8,1001,/input/data/work/8a/129a1039b03518c5dfe865d9bec0dc,true,-,-,-,-,-,-,-,-,8,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,5,1,3,18
17,node10,-,-,-,3e/81af25,nf-3e81af2521934df65a384f0821828410,NFCORE_MAG:MAG:FASTP,ERR260273,NFCORE_MAG:MAG:FASTP (ERR260273),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1678701066025,1678701067000,1678701111000,44975,31000,-,375.5,1.7,2242134016,2832187392,2242134016,2899300352,782748607,612149015,370,1696,102400,612171776,9,843,/input/data/work/3e/81af2521934df65a384f0821828410,true,-,-,-,-,-,-,-,-,10,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,7,1,3,16
23,cpu14,-,-,-,0e/dbc796,nf-0edbc7969b67c4ed0cc56e1ce4c812e4,NFCORE_MAG:MAG:FASTQC_RAW,ERR260272,NFCORE_MAG:MAG:FASTQC_RAW (ERR260272),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1678701066191,1678701085000,1678701114000,47809,26000,-,202.5,0.8,1148461056,4635860992,1148706816,4666916864,721676000,3814963,1380943,11883,10178560,4321280,57,4,/input/data/work/0e/dbc7969b67c4ed0cc56e1ce4c812e4,true,-,-,-,-,-,-,-,-,9,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,4,1,2,21
19,node8,-,-,-,e8/4e5246,nf-e84e52467dc0fd092b2433acb7bcaff4,NFCORE_MAG:MAG:FASTQC_RAW,ERR260273,NFCORE_MAG:MAG:FASTQC_RAW (ERR260273),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1678701066162,1678701087000,1678701120000,53838,29000,-,210.1,0.8,1077645312,4559974400,1077645312,4627087360,745771781,3815271,1428068,11884,24576,4243456,6,6,/input/data/work/e8/4e52467dc0fd092b2433acb7bcaff4,true,-,-,-,-,-,-,-,-,7,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,4,1,6,16
21,node2,-,-,-,27/e7181d,nf-27e7181dfa44a8ee773157fc1ff08374,NFCORE_MAG:MAG:FASTP,ERR260271,NFCORE_MAG:MAG:FASTP (ERR260271),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1678701066134,1678701081000,1678701124000,57866,26000,-,387.7,1.6,2185715712,2832322560,2185715712,2832326656,739109891,580278037,358,1636,102400,580300800,12,650,/input/data/work/27/e7181dfa44a8ee773157fc1ff08374,true,-,-,-,-,-,-,-,-,14,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,5,0,4,16
16,cpu14,-,-,-,1d/8a6793,nf-1d8a6793a8a892b222701deec5a3542b,NFCORE_MAG:MAG:FASTP,ERR260274,NFCORE_MAG:MAG:FASTP (ERR260274),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1678701065997,1678701085000,1678701135000,69003,37000,-,365.5,1.6,2101768192,2631131136,2106363904,2698244096,1068703737,877248752,438,2146,3022848,877273088,39,1015,/input/data/work/1d/8a6793a8a892b222701deec5a3542b,true,-,-,-,-,-,-,-,-,9,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,5,1,3,16
13,node8,-,-,-,46/09ee3f,nf-4609ee3f7b0fea8e2af799380e3ff588,NFCORE_MAG:MAG:FASTP,ERR260275,NFCORE_MAG:MAG:FASTP (ERR260275),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1678701065971,1678701087000,1678701143000,77029,36000,-,355.3,1.5,2082201600,2663444480,2107351040,2730557440,997641270,783611280,422,2000,3084288,783638528,41,1139,/input/data/work/46/09ee3f7b0fea8e2af799380e3ff588,true,-,-,-,-,-,-,-,-,9,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,5,1,3,22
10,node9,-,-,-,52/94066e,nf-5294066e4cc4c1487f597974dd69b3ed,NFCORE_MAG:MAG:FASTQC_RAW,ERR260158,NFCORE_MAG:MAG:FASTQC_RAW (ERR260158),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1678701065655,1678701067000,1678701147000,81345,78000,-,176.2,0.9,1162108928,4640055296,1162108928,4695248896,1962312172,4065456,3804150,12260,24576,4743168,9,8,/input/data/work/52/94066e4cc4c1487f597974dd69b3ed,true,-,-,-,-,-,-,-,-,7,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,5,1,2,15
