task_id,hostname,cpu_model,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
25,-,AMD EPYC 7282 16-Core Processor,83/5c4ed1,nf-835c4ed14cf1d5804fe294855a8c972f-60dae,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE,SAMN10172311,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SAMN10172311),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,12,57600000,-,77309411328,1,1718920118229,1718920125000,1718920136000,17771,10000,-,282.5,0.2,311296000,3280506880,311390208,3343425536,451684785,393089923,73229,30257,19734528,33120256,2800,3483,/app/results/joba/work/83/5c4ed14cf1d5804fe294855a8c972f,-,-
51,-,AMD EPYC 7282 16-Core Processor,2e/20b049,nf-2e20b04931fca1215a43e649ed135ecd-4801c,NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SAMN10172328,NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SAMN10172328),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.12.1--hdfd78af_0,6,28800000,-,38654705664,1,1718920118687,1718920119000,1718920171000,52313,51000,-,199.9,1.1,1486217216,6471065600,1490247680,6524600320,1183709833,4321783,2298158,14300,0,4759552,9,8,/app/results/joba/work/2e/20b04931fca1215a43e649ed135ecd,-,-
6,-,AMD EPYC 7282 16-Core Processor,3b/5b1f43,nf-3b5b1f43716e40560f02aee95abfbf8a-25bf6,NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SAMN10172304,NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SAMN10172304),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.12.1--hdfd78af_0,6,28800000,-,38654705664,1,1718920118130,1718920118000,1718920176000,57870,57000,-,196.8,1.0,1395953664,6471065600,1398509568,6524600320,1601592435,4332231,3114348,14344,225280,4751360,8,8,/app/results/joba/work/3b/5b1f43716e40560f02aee95abfbf8a,-,-
37,-,AMD EPYC 7282 16-Core Processor,d2/cd2d88,nf-d2cd2d88491767c79a0570eca31c06e8-8830f,NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SAMN10172286,NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SAMN10172286),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.12.1--hdfd78af_0,6,28800000,-,38654705664,1,1718920118546,1718920119000,1718920176000,57454,57000,-,199.2,1.1,1433616384,6471065600,1434128384,6480420864,1406833763,4312529,2733986,14283,0,4747264,9,6,/app/results/joba/work/d2/cd2d88491767c79a0570eca31c06e8,-,-
13,-,AMD EPYC 7282 16-Core Processor,31/2f8c41,nf-312f8c41ea0b73b0c16809a65dda8ee7-3ec15,NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SAMN10172292,NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SAMN10172292),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.12.1--hdfd78af_0,6,28800000,-,38654705664,1,1718920118639,1718920125000,1718920184000,65361,58000,-,202.2,1.0,1393967104,6389325824,1393967104,6456438784,1383982555,4305848,2689262,14286,0,4780032,8,19,/app/results/joba/work/31/2f8c41ea0b73b0c16809a65dda8ee7,-,-
38,-,AMD EPYC 7282 16-Core Processor,eb/de6f21,nf-ebde6f2195eaa5380157dd9978a91747-a7ffe,NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SAMN10172285,NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SAMN10172285),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.12.1--hdfd78af_0,6,28800000,-,38654705664,1,1718920118916,1718920122000,1718920190000,71084,68000,-,199.9,1.1,1423470592,6462676992,1423470592,6467399680,1616264561,4294550,3143001,14269,23896064,4833280,8,7,/app/results/joba/work/eb/de6f2195eaa5380157dd9978a91747,-,-
20,-,AMD EPYC 7282 16-Core Processor,bf/39dc17,nf-bf39dc17f114a6268b43de2f971239c3-1bfa5,NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SAMN10172314,NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SAMN10172314),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.12.1--hdfd78af_0,6,28800000,-,38654705664,1,1718920118838,1718920121000,1718920210000,91162,89000,-,197.0,1.1,1440120832,6471065600,1445666816,6524600320,2369574494,4327313,4614348,14333,0,4775936,8,6,/app/results/joba/work/bf/39dc17f114a6268b43de2f971239c3,-,-
106,-,AMD EPYC 7282 16-Core Processor,75/e80473,nf-75e804739e537369aeff02528800df64-c5d8b,NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SAMN10172309,NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SAMN10172309),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.12.1--hdfd78af_0,6,28800000,-,38654705664,1,1718920177549,1718920180000,1718920211000,33451,31000,-,198.5,1.1,1467674624,6471065600,1467686912,6524600320,728387968,4301969,1408825,14274,2994176,4739072,8,3,/app/results/joba/work/75/e804739e537369aeff02528800df64,-,-
35,-,AMD EPYC 7282 16-Core Processor,bf/742bb9,nf-bf742bb9723f18b971791318670edab7-5adb0,NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SAMN10172287,NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SAMN10172287),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.12.1--hdfd78af_0,6,28800000,-,38654705664,1,1718920118968,1718920178000,1718920215000,96032,37000,-,199.3,1.1,1493794816,6471065600,1493868544,6478000128,849212850,4317169,1644853,14302,487424,4784128,7,4,/app/results/joba/work/bf/742bb9723f18b971791318670edab7,-,-
39,-,AMD EPYC 7282 16-Core Processor,3f/797717,nf-3f797717f697cc8b74af22cb72eac44e-a0fb7,NFCORE_METHYLSEQ:METHYLSEQ:FASTQC,SAMN10172281,NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SAMN10172281),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.12.1--hdfd78af_0,6,28800000,-,38654705664,1,1718920118461,1718920119000,1718920226000,107539,107000,-,198.4,1.1,1465802752,6471065600,1465806848,6524600320,2660809186,4323317,5183142,14312,0,4952064,8,6,/app/results/joba/work/3f/797717f697cc8b74af22cb72eac44e,-,-
